date,high
2021-03-15,2062.30
2021-03-12,2085.00
2021-03-11,2074.06
2021-03-10,2071.76
2021-03-09,2070.00
2021-03-08,2101.13
2021-03-05,2073.12
2021-03-04,2023.37
2021-03-03,2067.21
2021-03-02,2076.19
2021-03-01,2056.52
2021-02-26,2050.52
2021-02-25,2067.45
2021-02-24,2041.83
2021-02-23,2025.01
2021-02-22,2067.00
2021-02-19,2119.27
2021-02-18,2110.39
2021-02-17,2100.00
2021-02-16,2104.36
2021-02-12,2090.25
2021-02-11,2099.51
2021-02-10,2094.21
2021-02-09,2078.54
2021-02-08,2105.91
2021-02-05,2070.00
2021-02-04,2068.89
2021-02-03,2073.00
2021-02-02,1922.56
2021-02-01,1853.57
2021-01-29,1846.17
2021-01-28,1843.94
2021-01-27,1882.53
2021-01-26,1888.84
2021-01-25,1920.67
2021-01-22,1895.68
2021-01-21,1898.00
2021-01-20,1831.46
2021-01-19,1752.25
2021-01-15,1738.19
2021-01-14,1753.62
2021-01-13,1738.58
2021-01-12,1753.92
2021-01-11,1786.07
2021-01-08,1787.98
2021-01-07,1740.06
2021-01-06,1702.63
2021-01-05,1725.00
2021-01-04,1757.54
2020-12-31,1735.42
2020-12-30,1762.01
2020-12-29,1787.79
2020-12-28,1751.64
2020-12-24,1735.00
2020-12-23,1728.11
2020-12-22,1734.43
2020-12-21,1713.51
2020-12-18,1754.18
2020-12-17,1768.51
2020-12-16,1772.88
2020-12-15,1764.42
2020-12-14,1775.00
2020-12-11,1763.06
2020-12-10,1769.80
2020-12-09,1812.01
2020-12-08,1810.10
2020-12-07,1819.00
2020-12-04,1824.52
2020-12-03,1824.01
2020-12-02,1798.10
2020-12-01,1774.37
2020-11-30,1781.18
2020-11-27,1773.09
2020-11-25,1772.89
2020-11-24,1730.50
2020-11-23,1749.60
2020-11-20,1765.21
2020-11-19,1738.38
2020-11-18,1765.23
2020-11-17,1776.94
2020-11-16,1771.70
2020-11-13,1757.63
2020-11-12,1747.63
2020-11-11,1750.00
2020-11-10,1731.09
2020-11-09,1790.90
2020-11-06,1753.95
2020-11-05,1781.00
2020-11-04,1710.28
2020-11-03,1631.78
2020-11-02,1628.16
2020-10-30,1672.11
2020-10-29,1522.36
2020-10-28,1559.74
2020-10-27,1595.67
2020-10-26,1625.01
2020-10-23,1626.07
2020-10-22,1593.05
2020-10-21,1573.33
2020-10-20,1527.05
2020-10-19,1580.46
2020-10-16,1565.85
2020-10-15,1547.15
2020-10-14,1578.59
2020-10-13,1583.73
2020-10-12,1543.00
2020-10-09,1494.70
2020-10-08,1465.09
2020-10-07,1464.29
2020-10-06,1475.58
2020-10-05,1466.21
2020-10-02,1462.03
2020-10-01,1484.27
2020-09-30,1466.80
2020-09-29,1470.39
2020-09-28,1474.21
2020-09-25,1432.63
2020-09-24,1411.03
2020-09-23,1458.78
2020-09-22,1450.09
2020-09-21,1440.06
2020-09-18,1498.01
2020-09-17,1496.00
2020-09-16,1555.54
2020-09-15,1536.00
2020-09-14,1539.01
2020-09-11,1536.00
2020-09-10,1560.64
2020-09-09,1557.53
2020-09-08,1533.51
2020-09-04,1624.26
2020-09-03,1709.71
2020-09-02,1673.78
2020-09-01,1636.63
2020-08-31,1647.89
2020-08-28,1633.49
2020-08-27,1653.68
2020-08-26,1608.00
2020-08-25,1582.07
2020-08-24,1593.98
2020-08-21,1577.03
2020-08-20,1543.45
2020-08-19,1553.31
2020-08-18,1526.18
2020-08-17,1514.67
2020-08-14,1515.66
2020-08-13,1510.34
2020-08-12,1485.58
2020-08-11,1492.44
2020-08-10,1487.18
2020-08-07,1500.00
2020-08-06,1471.75
2020-08-05,1469.30
2020-08-04,1476.57
2020-08-03,1486.64
2020-07-31,1505.01
2020-07-30,1497.00
2020-07-29,1506.32
2020-07-28,1525.18
2020-07-27,1515.60
2020-07-24,1498.93
2020-07-23,1566.97
2020-07-22,1560.50
2020-07-21,1586.99
2020-07-20,1515.26
2020-07-17,1521.62
2020-07-16,1500.00
2020-07-15,1523.13
2020-07-14,1490.31
2020-07-13,1550.00
2020-07-10,1506.15
2020-07-09,1506.45
2020-07-08,1494.32
2020-07-07,1490.00
2020-07-06,1480.06
2020-07-02,1446.94
2020-07-01,1411.10
2020-06-30,1390.44
2020-06-29,1358.18
2020-06-26,1431.39
2020-06-25,1429.90
2020-06-24,1461.51
2020-06-23,1455.64
2020-06-22,1429.00
2020-06-19,1444.00
2020-06-18,1449.16
2020-06-17,1447.16
2020-06-16,1445.22
2020-06-15,1390.80
2020-06-12,1428.49
2020-06-11,1442.48
2020-06-10,1459.54
2020-06-09,1445.36
2020-06-08,1422.34
2020-06-05,1413.17
2020-06-04,1430.40
2020-06-03,1438.30
2020-06-02,1430.55
2020-06-01,1418.39
2020-05-29,1416.94
2020-05-28,1396.86
2020-05-27,1417.25
2020-05-26,1437.27
2020-05-22,1396.71
2020-05-21,1408.00
2020-05-20,1389.58
2020-05-19,1387.00
2020-05-18,1361.75
2020-05-15,1350.00
2020-05-14,1335.02
2020-05-13,1377.05
2020-05-12,1407.12
2020-05-11,1378.28
2020-05-08,1383.13
2020-05-07,1365.94
2020-05-06,1361.69
2020-05-05,1337.92
2020-05-04,1308.23
2020-05-01,1328.50
2020-04-30,1324.88
2020-04-29,1341.46
2020-04-28,1287.93
2020-04-27,1296.00
2020-04-24,1261.17
2020-04-23,1271.55
2020-04-22,1245.54
2020-04-21,1247.00
2020-04-20,1271.00
2020-04-17,1284.85
2020-04-16,1274.10
2020-04-15,1245.61
2020-04-14,1245.09
2020-04-13,1209.18
2020-04-09,1224.08
2020-04-08,1206.50
2020-04-07,1221.00
2020-04-06,1138.00
2020-04-03,1119.02
2020-04-02,1098.26
2020-04-01,1122.00
2020-03-31,1147.30
2020-03-30,1125.04
2020-03-27,1125.67
2020-03-26,1111.80
2020-03-25,1126.47
2020-03-24,1103.77
2020-03-23,1061.32
2020-03-20,1135.72
2020-03-19,1093.05
2020-03-18,1056.51
2020-03-17,1093.11
2020-03-16,1096.00
